en_query	cs_query
can you tell me if the traffic is heavy right now	kya aap mujhe batasakte hai ki abhi traffic bhari hai
Display Septembers reminders	Septembers ke reminders ko Display karo
Alerts for mornings on every day .	har din subha ke liye alerts
set alarm every 60 seconds	har 60 second mei alarm set kare
How cold is it in Celcius ?	Celcius me kitni thand hai ?
text Kathy to let her know that the milk is spoiled .	Kathy ko text karo usey batane ke liye ki milk kharab hai
remind me to visit grandma tomorrow	mujhe kal grandma ko visit karne ke liye yaad dilaye
is there more than 10 minutes left on the dinner timer	Kya dinner timer par 10 minutes se zada time bacha he
weekly weather Miami	Miami me weekly weather
Change my reminders so that they show GMT instead of EST .	mere reminders ko badal do taakhi wo EST ke bajaye GMT dikhaen
resume timer after 17 minutes	17 minute baad timer ko resume kare
Is there a high pollen count today	kya aj pollen count zyada hai
Send a message to Great to tell him that I can make it to work today .	Great ko message bhejo to tell him that I can make it to work today .
If I take the freeway , how long will it take to drive to Erie .	Agar me freeway leta hu , to Erie tak drive karke jane me kitna time lagega .
Haha reaction to George ' s message on WhatsApp	George ke WhatsApp message par Haha reaction
Is it sunny right now in Toronto ?	kya Toronto me abhi dhoop hai ?
Are we expecting rain today ?	Kya aaj baarish ki ummeed karsakte hai ?
Do I have any reminders concerning rent from HI ?	Kya mere paas HI se rent karne ke liye koi reminders he ?
how long is the train trip downtown	downtown ke liye train trip kitni lambi hai
Snooze for half an hour .	adhe ghante ke liye snooze karo .
whats the weather	mausam kaisa hai
What ' s the weather going to be like today ?	aj weather kaisa rehne wala hai ?
Skip this song .	ye song ko skip kare
How long until my timer is done ?	Mera timer kab tak khatam hoga ?
Are the roads to Mandy ' s house clear	kya Mandy ke ghar jaane ke liye roads saaf hai
What ' s the weather in Morgan Hill	Morgan Hill mei weather kaisa hai
put this song on repeat	is gaaney ko repeat par rakhiye
marathon in nyc	nyc mei marathon
Is the traffic heavy in San Francisco today	Kya aaj San Francisco me traffic bhaari hai
Set alarm for every 5 minutes for 30 minutes	30 minute ke liye har 5 minute mei alarm set kare
retrieve my chat requests please	Please mere chat requests ko retrieve kare
Swimming lessons near Altamonte	Altamonte ke aas pas Swimming lessons
should i wear a jacket today ?	kya aaj mujhe jacket pahanani chahiye ?
Did I text my doctor yesterday ?	kya maine kal mere doctor ko text kia
message Arthur A big big boat .	Arthur ko message karo ki A big big boat .
where ' s the traffic heaviest in my area	mere area me sabse zyada bhaari traffic kahan par hai
Send thumbs up reaction to the group message .	group message par thumbs up reaction bheje
I need directions to Minneapolis from my house , while taking a detour through Arkansas .	mujhe mere ghar se Minneapolis ke liye directions chahiye , while taking a detour through Arkansas .
Weather report , please .	Please , weather report bheje .
Replay the last song	last song ko reply kare
for how long i have to drive to the supermarket	mujhe supermarket tak drive karke jaane me kitna samay lagega
MESSAGE RUSS AND ASK HIM WHEN HIS MOTHER WILL BE AT THE AIRPORT NEXT WEEK .	RUSS ko message karo aur pucho ki WHEN HIS MOTHER WILL BE AT THE AIRPORT NEXT WEEK .
Is the traffic bad this morning in Montgomery	kya Montgomery me is subha traffic kharab hai
Set a nap alarm for today at 6	aaj 6 baje ke liye ek nap alarm set karen
remind me about my dentist appointment on thursday at 2 pm	Mujhe thursday 2 pm ko meri dentist appointment ke baare me yaad dilaayen
Shoot a voice message to Devin Jones	Devin Jones ko ek voice message bhejo
What is the traffic driving from Staten Island to Perth Amboy	Staten Island se Perth Amboy tak traffic driving kya hai
How long will it take to get to Crystal Lake	Crystal Lake tak jane ke liye kitni der lagegi
Turn all alarms off	saare alarms band karo
play Y 102 5 station on iheartradio	iheartradio par Y 102 5 station ko play kare
remove alarm sounds this morning	Is subha alarm sounds ko hata den
What is the forecast for Saturday ?	Saturday ke liye kya forecast hai
Remind me when it hits 6	mujhe 6 baje hits hone par yaad dilaayen
Weather for Texas please	Texas ke liye weather bataye please
Should I bring an umbrella with me today ?	Kya aaj mujhe apne saath umbrella laana chahiye ?
update sixth timer	sixth timer ko update kare
Is it backed up on route 66	kya route 66 par traffic hai
need reminder for buying fathers day card	fathers day card kharidne ka reminder chahiye
How time is left on workout timer	workout timer par kitna time bacha hai
display playlist	playlist ko display kare
Play classical music .	classical music play karo
Give me my reminders for work I have for today	Mujhe aj ke liye work ke mere reminders dijiye
Comic - Con near me	mere aas paas comic - con
set timer for 5 hours	5 ghante ke liye timer set kardo
I want to listen to the latest Beyonce album .	mai Beyonce ka latest album sunna chahta hoon
How long until my alarm goes off ?	Mera alarm kab tak band rahega ?
Give me the time it takes from Yonkers to White Plains .	mujhe Yonkers se White Plains tak ka time batao
Is it going to be over 100 degrees today ?	kya aj 100 degrees se zyada hone wala hai ?
how heavy is traffic usually around noon on I - 30	I - 30 par dopaher ke aas paas traffic kitna zada hai
What is the weather like for Tuesday	Tuesday ke liye mausam kaisa hoga
What is the distance from Florida to California	Florida se California tak ki doori kitni hai
Go back two tracks	do tracks wapas jaayen
I need to text David . Can you remind me at 3 : 30 .	mujhe David ko text bhejna hai . kya ap mujhe 3 : 30 bajhe yaad dila sakte hai .
Wine tasting meetups in Philly	Philly me Wine tasting meetups
how big are the waves at Long beach today	today long beach par waves kitne bhari hai
Should we expect lightning ?	Kya hum lightning ki ummeed karsakte hai ?
Concerts by Natalie Grant	Natalie Grant ke Concerts
When is my next church meeting reminder ?	Mera next church meeting ka reminder kab he ?
How long is left before my alarm goes off ?	Mera alarm kab tak band rahega ?
Create reminder for joselyn ' s wedding on June 10th , 2019	joselyn ki wedding ke liye June 10th ko , 2019 ka reminder banaye
Please set a reminder every other day for a weight check .	Please har dusre din weight check ke liye ek reminder set karen .
Set timer for 2 minutes	2 minutes ke liye timer set karen
How long on timer ?	timer par kitna samay hai ?
Please play my music playlist .	Please meri music playlist ko play kare .
Remind Brady and Jackson that we need to leave at 3 ; alert them an hour before .	Brady aur Jackson ko alert kare ki 3 baje mujhe nikalna hai ; unhe ek ghante pehle alert kare
how can i get out of this traffic	mai is traffic se kaise nikal sakta hoon
reset the alarm	alarm ko reset karen
Message Frank I will be at your place by ten o ’ clock !	Frank ko message karo ki mai ten o ’ clock tak apke ghar par rahunga !
How much time is it left on my timer	Mere timer par kitna time bacha he ?
How many miles from here to Tampa , Florida	yaha se Tampa , Florida tak kitne miles hai
Will it be cold in New York ?	Kya New York me thand hogi
set my timer for my mile run	mile run ke liye mera timer set karen
did the road flooded yesterday morning ?	kya kal subha road flooded hogaya tha ?
message Brad and ask if he has my keys	Brad ko message karo aur pucho ke if he has my keys
Anything happening in New York next weekend	New York me next weekend par kuch hone wala hai
Are there any detours on the road on the way to my mothers house	kya meri ma ke ghar ke raaste me koi detours hai
How long will it take me to get to Neimen from here ?	yaha se mujhe Neimen tak pahunchne me kitna samay lagega ?
Any tornado warnings in Texas today ?	Kya aaj Texas me koi tornado warning he ?
Can you play Megadeth ' s latest album ?	Kya aap Megadeth ke latest album ko baja sakte hai ?
When is low tide ?	low tide kab hai ?
How far is it from Utica , NY to Belleville , Il	Utica , NY se Belleville , Il tak kitni doori hai
Timer countdown please	Timer countdown please
Show me the TV repair reminder	mujhe TV repair reminder dikhao
Activities in NYC on the first week of 2018	2018 ke pehle hafte NYC me Activities
Show me the weather for Today , tomorrow and Saturday .	Mujhe aaj , kal aur Saturday ke liye weather bataye .
What is the weather in Sydney ?	Sydney mei weather kaisa hai ?
Directions to Walmart in Douglasville avoiding construction	Douglasville me Walmart ke liye directions construction ko avoid karte huye
remind me to spray for bugs tomorrow at 3 pm	mujhe kal dopahar 3 bajhe bugs ke liye spray karne ke liye yaad dilaye
Postpone today ' s 15 minutes study timer	aaj ke 15 minutes ke study timer ko postpone kare
Set timer for 5 minutes	5 minute ke liye timer set kardo
I would like to wake up at 8 AM	mai 8 am ko utna chahta hoon
Chocolate Tours for this weekend	is weekend ke liye Chocolate Tours
Please remove the alert for my daily yoga sessions .	Please mere daily yoga sessions ke liye alert hata den .
how much time will it take if i go the airport from Pearlridge via H 1 during rush hour	agar mai rush hour ke samay Pearlridge se H 1 ke zariye airport tak jaaon to mujhe kitna samay lagega
Remind me to feed the dog please .	Muje dog ko feed karne ke liye remind karaye please
What is the weather forecast for this weekend ?	is weekend ka weather forecast kya hai
Text Merideth on Whatsapp we are bringing the side dishes we just need plates and cups	Merideth ko Whatsapp par text karo ki we are bringing the side dishes we just need plates and cups
directions from mcallen to the alamo	mcallen se alamo tak ke liye directions
Which freeway has the least traffic	kis freeway par sabse kam traffic hai
Start playing Pandora please	please Pandora ko play karna shuru karo
Set reminder to get haircut next week .	agley haftey haircut karne ke liye reminder set kare
How long to get home from here	yaha se ghar tak kitna time lagega
Please search for the weather from May 9 to 14 ?	Please May 9 to 14 ke liye weather search kare ?
Repeat my alarm every Monday at 10 : 30 am	har Monday 10 : 30 am ko mera alarm repeat kare
Play the Who ' s Greatest Hits	the Who ke Greatest Hits bajao
how long to get to sedona	sedona tak jane ke liye kitni der lagegi
Display my alarms for Sunday	Sunday ke liye mere alarms ko dikhao
How much snow fell yesterday ?	kal kitni barf padi ?
Steffani Howells	Steffani Howells
how long is the commute expected to take	commute kitna samay lagega ye sambhavna hai
